date,daytype,seconds,miles,tips,total,payment_type,speed
1/26/19,weekend,300,0.6,0,6.25,Cash,7.2
4/5/19,weekend,300,1.4,3.15,13.65,Credit,16.8
6/28/19,weekend,838,1.68,0,10,Cash,7.2171838
4/25/19,weekday,4740,17.6,12.56,62.81,Credit,13.367089
9/17/19,weekday,480,1,1,7.25,Credit,7.5
12/12/19,weekday,660,2.2,0,10.75,Cash,12
12/19/19,weekday,634,1.63,0,9.5,Cash,9.2555205
2/5/19,weekday,2381,16.85,10.14,53.64,Credit,25.47669
2/19/19,weekday,815,1.9,2,11.75,Credit,8.392638
2/22/19,weekend,203,0.58,0,5,Cash,10.285714
2/5/19,weekday,765,1.29,0,8,Cash,6.0705882
4/30/19,weekday,326,0.64,0,6.5,Cash,7.0674847
6/11/19,weekday,1260,8.4,7.6,32.6,Credit,24
6/24/19,weekday,431,1.76,4,12.25,Credit,14.700696
1/25/19,weekend,669,1.74,2,12.25,Credit,9.3632287
1/15/19,weekday,300,0.7,0,5.5,Cash,8.4
5/9/19,weekday,2969,17.71,9.9,59.4,Credit,21.473897
10/9/19,weekday,1140,5.9,8,30.25,Credit,18.631579
1/21/19,weekday,300,0.9,0,7,Cash,10.8
4/2/19,weekday,180,1.1,2,7.5,Credit,22
4/21/19,weekday,2624,17.56,0,48,Cash,24.091463
4/8/19,weekday,360,1.3,1.5,8.75,Credit,13
4/9/19,weekday,323,0.74,0,5.5,Cash,8.247678
4/13/19,weekend,360,1.6,0,7,Cash,16
5/10/19,weekend,1065,4.46,0,14.75,Cash,15.076056
3/24/19,weekday,1149,17.39,9.4,56.4,Credit,54.48564
6/29/19,weekend,548,1.05,0,9.25,Cash,6.8978102
4/4/19,weekday,446,0.88,2,9.25,Credit,7.103139
6/7/19,weekend,360,0.2,0,5.25,Cash,2
6/20/19,weekday,1036,3.05,0,12.25,Cash,10.598456
2/18/19,weekday,163,0.38,0,5.25,Cash,8.392638
4/10/19,weekday,1860,16.8,9.3,55.8,Credit,32.516129
8/30/19,weekend,2280,0.9,6.25,49.5,Credit,1.4210526
6/14/19,weekend,735,2.12,0,10,Cash,10.383673
6/21/19,weekend,1432,4.3,0,16.5,Cash,10.810056
7/11/19,weekday,960,1.5,2.05,11.8,Credit,5.625
6/11/19,weekday,1200,13.1,7.55,45.3,Credit,39.3
12/13/19,weekend,394,0.86,2,9.75,Credit,7.857868
8/20/19,weekday,660,0.91,1.5,9.5,Credit,4.9636364
5/15/19,weekday,360,0.1,0,10.5,Cash,1
3/15/19,weekend,540,3.7,4.12,20.62,Credit,24.666667
5/8/19,weekday,540,1.5,2,10.25,Credit,10
11/25/19,weekday,3120,17.6,10.1,60.1,Credit,20.307692
8/7/19,weekday,250,0.54,0,6.5,Cash,7.776
8/9/19,weekend,540,1.2,1,10.5,Credit,8
5/1/19,weekday,814,1.6,0,7.5,Cash,7.0761671
1/15/19,weekday,1020,2.1,2,13.25,Credit,7.4117647
9/23/19,weekday,240,0.6,0,5,Cash,9
5/20/19,weekday,720,3,2.4,13.9,Credit,15
11/7/19,weekday,314,1.1,2,8.75,Credit,12.611465
5/20/19,weekday,700,1.63,0,9,Cash,8.3828571
6/12/19,weekday,420,1.5,2,10.5,Credit,12.857143
4/24/19,weekday,600,1.3,0,7.25,Cash,7.8
4/5/19,weekend,720,1.9,2,11.5,Credit,9.5
5/2/19,weekday,878,2.91,0,12.25,Cash,11.931663
7/5/19,weekend,668,2.5,0,9.5,Cash,13.473054
2/9/19,weekend,720,0.1,4,13.75,Credit,0.5
2/4/19,weekday,1089,8.68,5.05,30.3,Credit,28.694215
9/1/19,weekday,888,1.8,0,10,Cash,7.2972973
6/14/19,weekend,96,0.2,2,6.25,Credit,7.5
8/21/19,weekday,276,0.66,0,5.25,Cash,8.6086957
4/11/19,weekday,891,2.33,0,9.25,Cash,9.4141414
3/11/19,weekday,1666,5.84,0,25.75,Cash,12.619448
8/1/19,weekday,2273,17.61,9.9,59.4,Credit,27.890893
8/22/19,weekday,730,3.6,2.6,15.6,Credit,17.753425
6/6/19,weekday,662,3.76,3.25,16.25,Credit,20.44713
3/22/19,weekend,3180,16.7,0,46,Cash,18.90566
1/2/19,weekday,222,0.45,0,4.75,Cash,7.2972973
1/10/19,weekday,1307,14.3,12.15,52.65,Credit,39.387911
1/18/19,weekend,805,2.11,0,10.75,Cash,9.4360248
5/31/19,weekend,2030,17.84,0,44.5,Cash,31.637438
10/7/19,weekday,67,0.13,0,3.5,Cash,6.9850746
8/28/19,weekday,2640,16.8,0,49,Cash,22.909091
3/29/19,weekend,1350,13.2,0,33.75,Cash,35.2
1/14/19,weekday,423,0.94,3,10,Credit,8
12/14/19,weekend,1460,4.54,3.25,19.5,Credit,11.194521
9/7/19,weekend,684,2.37,2,14.25,Credit,12.473684
6/18/19,weekday,569,1.19,0,8.5,Cash,7.5289982
3/19/19,weekday,864,2.29,0,10.5,Cash,9.5416667
5/1/19,weekday,62,0.01,0,3.25,Cash,0.58064516
8/9/19,weekend,1146,2.5,0,12.75,Cash,7.8534031
3/12/19,weekday,240,0.6,1.25,6.5,Credit,9
7/29/19,weekday,720,0.9,2.5,10.25,Credit,4.5
2/26/19,weekday,225,1.01,0,5.5,Cash,16.16
7/20/19,weekend,2100,0.6,10.55,45.3,Credit,1.0285714
4/6/19,weekend,391,1.01,0,6,Cash,9.2992327
12/11/19,weekday,1687,2.5,2.9,17.4,Credit,5.334914
2/28/19,weekday,780,1.6,2,11,Credit,7.3846154
10/2/19,weekday,405,0.77,0,6,Cash,6.8444444
1/6/19,weekday,81,0.37,2,8,Credit,16.444444
5/4/19,weekend,2315,18.77,0,51,Cash,29.188769
8/3/19,weekend,120,0.4,0,5.75,Cash,12
12/21/19,weekend,464,0.92,0,9,Cash,7.137931
3/19/19,weekday,4170,17.96,10.8,64.8,Credit,15.505036
2/13/19,weekday,1581,4.56,2.59,19.84,Credit,10.383302
6/3/19,weekday,2678,19.48,0,51.5,Cash,26.186706
2/7/19,weekday,360,0.8,1,7,Credit,8
12/31/19,weekday,317,0.57,0,6.5,Cash,6.4731861
9/5/19,weekday,321,1.6,0,7.5,Credit,17.943925
9/4/19,weekday,506,1.04,2,9.25,Credit,7.3992095
9/28/19,weekend,1115,0.22,0,10.5,Cash,0.7103139
2/14/19,weekday,360,0.4,1,7.25,Credit,4
6/21/19,weekend,1684,13.14,6.95,41.7,Credit,28.090261
6/4/19,weekday,292,1.16,0,7,Cash,14.30137
8/15/19,weekday,459,0.85,2,9.75,Credit,6.6666667
2/26/19,weekday,263,0.83,2,8,Credit,11.361217
7/27/19,weekend,780,3.5,0,12.25,Cash,16.153846
10/17/19,weekday,240,0.8,0,5.5,Cash,12
4/15/19,weekday,324,1.27,0,6.25,Cash,14.111111
10/5/19,weekend,180,0.56,0,4.75,Cash,11.2
12/3/19,weekday,269,0.9,1,7,Credit,12.04461
11/15/19,weekend,379,0.72,2,9.25,Credit,6.8390501
11/24/19,weekday,489,1.63,0,9.25,Cash,12
11/25/19,weekday,1663,5.5,0,18.5,Cash,11.906194
6/20/19,weekday,1243,4.56,4.06,20.31,Credit,13.206758
1/2/19,weekday,420,0.9,1.5,7.75,Credit,7.7142857
11/21/19,weekday,180,0.6,0,4.75,Cash,12
10/21/19,weekday,166,0.85,0,5.25,Cash,18.433735
3/17/19,weekday,1706,17.04,7.16,54.91,Credit,35.957796
5/9/19,weekday,780,2.18,3,13.5,Credit,10.061538
2/11/19,weekday,424,1.23,0,6.5,Cash,10.443396
5/12/19,weekday,1020,1.6,2.05,12.3,Credit,5.6470588
12/21/19,weekend,598,0.91,0,8,Cash,5.4782609
8/27/19,weekday,503,1.84,1,9.5,Credit,13.168986
12/1/19,weekday,480,1.8,4.4,12.4,Credit,13.5
2/12/19,weekday,1649,5.1,2,20.25,Credit,11.134021
4/26/19,weekend,2715,13.95,0,39.75,Cash,18.497238
1/10/19,weekday,5100,35.3,0,85.75,Cash,24.917647
4/25/19,weekday,289,1,3,9.5,Credit,12.456747
8/1/19,weekday,676,1.11,0,8.25,Cash,5.9112426
2/23/19,weekend,799,4.82,2.51,19.26,Credit,21.717146
6/7/19,weekend,2979,16.56,8,52.75,Credit,20.012085
6/3/19,weekday,587,1.39,2,10.25,Credit,8.5247019
2/10/19,weekday,240,0.7,0,5.25,Cash,10.5
12/3/19,weekday,660,0.7,2,9,Credit,3.8181818
11/13/19,weekday,1339,14.39,0,60,Cash,38.688574
5/22/19,weekday,540,1.8,1,10.75,Credit,12
2/18/19,weekday,264,0.55,0,5,Cash,7.5
4/15/19,weekday,1254,4.03,0,14.5,Cash,11.569378
9/2/19,weekday,540,0.3,0,9,Cash,2
11/20/19,weekday,1749,13.11,6.95,41.7,Credit,26.984563
5/19/19,weekday,1800,4.2,4,24,Credit,8.4
5/9/19,weekday,843,3.61,0,16.5,Cash,15.41637
6/20/19,weekday,606,0.88,1,8.75,Credit,5.2277228
9/6/19,weekend,360,0.9,0,6,Cash,9
9/15/19,weekday,487,1.8,0,8,Cash,13.305955
1/4/19,weekend,1200,7,4.15,24.9,Credit,21
12/15/19,weekday,420,0.1,2.2,12.7,Credit,0.85714286
2/21/19,weekday,300,1.2,4,11.5,Credit,14.4
3/30/19,weekend,1696,19.01,0,50.75,Cash,40.351415
5/7/19,weekday,1013,2,3,14.25,Credit,7.1076012
9/26/19,weekday,275,0.5,0,5.25,Cash,6.5454545
4/6/19,weekend,729,1.4,2,10.75,Credit,6.9135802
2/26/19,weekday,840,5.2,3.25,19.5,Credit,22.285714
6/14/19,weekend,926,2.88,0,12.75,Cash,11.196544
9/27/19,weekend,441,0.43,0,5.75,Cash,3.5102041
10/25/19,weekend,279,0.85,0,5.5,Cash,10.967742
3/4/19,weekday,480,0.8,0,10.25,Cash,6
11/29/19,weekend,3116,13.8,9.8,58.8,Credit,15.943517
10/18/19,weekend,849,1.86,0,9.5,Cash,7.8869258
4/30/19,weekday,650,1.85,0,8.5,Cash,10.246154
8/11/19,weekday,600,2,0,9.75,Cash,12
1/21/19,weekday,1849,14.37,0,37.75,Cash,27.978367
3/21/19,weekday,371,0.81,2,8.25,Credit,7.8598383
1/8/19,weekday,420,0.6,2,8,Credit,5.1428571
2/25/19,weekday,1150,11.12,6.65,39.9,Credit,34.810435
2/14/19,weekday,2220,1.1,5,51.5,Credit,1.7837838
11/6/19,weekday,656,2.21,3,13.25,Credit,12.128049
2/17/19,weekday,458,3.1,0,11,Cash,24.366812
11/28/19,weekday,563,4.96,0,14.75,Cash,31.715808
11/19/19,weekday,540,1,3,11.5,Credit,6.6666667
6/9/19,weekday,420,1.1,1,7.75,Credit,9.4285714
6/8/19,weekend,960,2.6,0,13.25,Cash,9.75
9/25/19,weekday,120,0.2,0,4,Cash,6
5/26/19,weekday,460,1.7,0,9.5,Cash,13.304348
1/29/19,weekday,1215,13.2,7.55,45.3,Credit,39.111111
2/22/19,weekend,612,2.24,4,14.75,Credit,13.176471
8/20/19,weekday,321,1.42,0,6.75,Cash,15.925234
4/20/19,weekend,1682,11.82,0,36.5,Cash,25.298454
5/23/19,weekday,391,0.87,0,7,Cash,8.0102302
5/5/19,weekday,1080,3.1,2.5,15,Credit,10.333333
3/28/19,weekday,360,0.6,2,7.5,Credit,6
6/27/19,weekday,347,0.89,2,9.5,Credit,9.2334294
10/31/19,weekday,900,2.4,0,11.25,Cash,9.6
11/24/19,weekday,780,2,2.25,13,Credit,9.2307692
10/7/19,weekday,1026,8.54,0,22.75,Cash,29.964912
10/11/19,weekend,1446,3.8,5,20.75,Credit,9.4605809
7/10/19,weekday,480,1.2,2,9,Credit,9
8/6/19,weekday,2340,10,7,42.2,Credit,15.384615
9/16/19,weekday,230,0.86,0,5.5,Cash,13.46087
1/4/19,weekend,818,1.36,0,9,Cash,5.9853301
9/10/19,weekday,420,0.1,2.05,11.8,Credit,0.85714286
5/22/19,weekday,2400,13.2,8,50.25,Credit,19.8
7/16/19,weekday,162,0.51,2,7,Credit,11.333333
2/14/19,weekday,813,1.7,2,11.5,Credit,7.5276753
2/21/19,weekday,600,0.3,0,14.75,Cash,1.8
1/2/19,weekday,480,1.4,0,9.75,Cash,10.5
4/16/19,weekday,840,2.7,2,13.25,Credit,11.571429
11/4/19,weekday,291,0.76,1,6.75,Credit,9.4020619
10/1/19,weekday,244,0.73,0,5.25,Cash,10.770492
4/25/19,weekday,1380,2,0,16.5,Credit,5.2173913
3/20/19,weekday,1719,10.84,0,29.5,Cash,22.701571
10/15/19,weekday,540,1,2,9,Credit,6.6666667
6/1/19,weekend,938,1.9,3,14.75,Credit,7.2921109
6/6/19,weekday,720,1.5,0,8.75,Credit,7.5
4/8/19,weekday,323,0.68,0,5.5,Cash,7.5789474
12/10/19,weekday,420,1.3,0,7,Cash,11.142857
12/5/19,weekday,1364,10.29,7.25,36.25,Credit,27.158358
11/8/19,weekend,300,0.6,2,7.5,Credit,7.2
8/28/19,weekday,120,0.4,0,4.25,Cash,12
9/6/19,weekend,1836,22.85,7,76,Credit,44.803922
1/23/19,weekday,1305,2,2,14,Credit,5.5172414
4/3/19,weekday,383,0.88,2,8.75,Credit,8.2715405
3/5/19,weekday,553,0.92,0,7,Cash,5.9891501
6/19/19,weekday,3452,21.6,11.65,69.9,Credit,22.526072
2/19/19,weekday,360,0.9,0,6,Cash,9
6/30/19,weekday,2100,15.6,9.2,54.7,Credit,26.742857
